MUNICÍPIOS,SUSPEITOS,DESCARTADOS,CONFIRMADOS,TOTAL
 Chapadinha,1,0,0,1
 Cidelândia,1,0,0,1
 Coelho Neto,1,1,0,2
 Davinópolis,2,0,0,2
 Duque Bacelar,2,0,0,2
 Estreito,1,1,0,2
 Grajaú,1,0,0,1
 Igarapé do Meio,1,0,0,1
 Imperatriz,12,2,0,14
 Jenipapo dos Vieiras,1,0,0,1
 Matões,2,0,0,2
 Pedreiras,2,0,0,2
 Peritoró,1,0,0,1
 Porto Franco,1,0,0,1
 Presidente Dutra,1,0,0,1
 Santa Inês,2,1,0,3
 São Benedito do Rio Preto,1,0,0,1
 São José de Ribamar,3,1,0,4
 São Luís,139,128,1,268
 São Pedro dos Crentes,1,0,0,1
 Timbiras,1,0,nan,1
 Timon,3,0,0,3
 Viana,1,0,0,1
Arari ,2,0,0,2
Açailândia ,4,1,0,5
Bacabal ,1,0,0,1
Balsas ,7,0,0,7
Barra do Corda ,4,0,0,4
Buri�cupu ,1,0,0,1
Carolina ,1,0,0,1
Caxias ,12,0,0,12
Cândido Mendes ,1,0,nan,1
